n    , L1AlgoName                                                     , 2.20   , 2.00   , 2.01   , 2.02   , 1.80   , 1.81    POG         , PAG           , Comment                         , uGT 
133  , L1_SingleJet60_FWD                                             , 2800   , 2800   , 4300   , 4300   , 2800   , 3000   , Jet         , JME           , L1TDPG99                        , Add 
134  , L1_SingleJet90_FWD                                             , 4100   , 4100   , 6300   , 6300   , 4100   , 5000   , Jet         , JME           , L1TDPG99                        , Add 
135  , L1_SingleJet120_FWD                                            , 410    , 410    , 820    , 820    , 410    , 600    , Jet         , JME           , L1TDPG99                        , Add 
140  , L1_DoubleJet40er3p0                                            , 0      , 0      , 0      , 0      , 0      , 0      , Jet         , Slim|AlCa     ,                                 ,     
141  , L1_DoubleJet50er3p0                                            , 0      , 0      , 0      , 0      , 0      , 0      , Jet         , Slim          ,                                 ,     
142  , L1_DoubleJet60er3p0                                            , 0      , 0      , 0      , 0      , 0      , 0      , Jet         , Slim|AlCa     ,                                 ,     
143  , L1_DoubleJet80er3p0                                            , 0      , 0      , 0      , 0      , 0      , 0      , Jet         , Slim|AlCa     ,                                 ,     
144  , L1_DoubleJet100er3p0                                           , 0      , 0      , 0      , 0      , 0      , 0      , Jet         , Slim|AlCa     ,                                 ,     
145  , L1_DoubleJet112er3p0                                           , 0      , 0      , 0      , 0      , 0      , 0      , Jet         , Slim          ,                                 ,     
146  , L1_DoubleJet120er3p0                                           , 1      , 1      , 1      , 1      , 1      , 1      , Jet         , Slim|AlCa     ,                                 ,     
#646  , L1_DoubleJet150er3p0                                           , 1      , 1      , 1      , 1      , 1      , 1      , Jet         , Slim|AlCa     ,                                 ,    
147  , L1_TripleJet_84_68_48_VBF                                      , 0      , 0      , 0      , 0      , 0      , 0      , Cross       , Slim          ,                                 ,     
148  , L1_TripleJet_88_72_56_VBF                                      , 0      , 0      , 0      , 0      , 0      , 0      , Cross       , Slim|AlCa     ,                                 ,     
149  , L1_TripleJet_92_76_64_VBF                                      , 1      , 1      , 0      , 0      , 1      , 0      , Cross       , Slim          ,                                 ,     
150  , L1_QuadJet40er3p0                                              , 0      , 0      , 0      , 0      , 0      , 0      , Jet         , Slim          ,                                 ,     
151  , L1_QuadJet50er3p0                                              , 0      , 0      , 0      , 0      , 0      , 0      , Jet         , Slim          ,                                 ,     
